building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
create_level8_1zone,zone1,north,surface_exterior_1,create_exterior_wall_curtain_window,31.824,6.63
create_level8_1zone,zone1,east,surface_exterior_2,create_exterior_wall_curtain_window,69.984,10.58+4
create_level8_1zone,zone1,south,surface_exterior_3,create_exterior_wall_curtain_window,198.192,7.29+3.2+3.2+3.18+0.98+3.25+3.2+6.5+3.2+7.29
create_level8_1zone,zone1,west,surface_exterior_4,create_exterior_wall_curtain_window,78.432,10.4+3.98+1.96
create_level8_2zones,zone1,south,surface_exterior_1,create_exterior_wall_curtain_window,80.976,7.29+3.2+3.2+3.18
create_level8_2zones,zone1,west,surface_exterior_2,create_exterior_wall_curtain_window,69.024,10.4+3.98
create_level8_2zones,zone2,north,surface_exterior_3,create_exterior_wall_curtain_window,31.824,6.63
create_level8_2zones,zone2,east,surface_exterior_4,create_exterior_wall_curtain_window,69.984,10.58+4
create_level8_2zones,zone2,south,surface_exterior_5,create_exterior_wall_curtain_window,117.216,0.98+3.25+3.2+6.5+3.2+7.29
create_level8_2zones,zone2,west,surface_exterior_6,create_exterior_wall_curtain_window,9.408,1.96
create_level8_3zones,zone1,south,surface_exterior_1,create_exterior_wall_curtain_window,80.976,7.29+3.2+3.2+3.18
create_level8_3zones,zone1,west,surface_exterior_2,create_exterior_wall_curtain_window,69.024,10.4+3.98
create_level8_3zones,zone2,north,surface_exterior_3,create_exterior_wall_curtain_window,31.824,6.63
create_level8_3zones,zone2,east,surface_exterior_4,create_exterior_wall_curtain_window,69.984,10.58+4
create_level8_3zones,zone2,south,surface_exterior_5,create_exterior_wall_curtain_window,117.216,0.98+3.25+3.2+6.5+3.2+7.29
create_level8_3zones,zone2,west,surface_exterior_6,create_exterior_wall_curtain_window,9.408,1.96
create_level8_4zones_a,zone1,west,surface_exterior_1,create_exterior_wall_curtain_window,49.92,10.4
create_level8_4zones_a,zone2,north,surface_exterior_2,create_exterior_wall_curtain_window,31.824,6.63
create_level8_4zones_a,zone2,east,surface_exterior_3,create_exterior_wall_curtain_window,50.784,10.58
create_level8_4zones_a,zone2,south,surface_exterior_4,create_exterior_wall_curtain_window,4.704,0.98
create_level8_4zones_a,zone2,west,surface_exterior_5,create_exterior_wall_curtain_window,9.408,1.96
create_level8_4zones_a,zone3,south,surface_exterior_6,create_exterior_wall_curtain_window,50.61,7.29+3.2+3.2+3.18
create_level8_4zones_a,zone3,west,surface_exterior_7,create_exterior_wall_curtain_window,11.94,3.98
create_level8_4zones_a,zone4,east,surface_exterior_8,create_exterior_wall_curtain_window,12.0,4
create_level8_4zones_a,zone4,south,surface_exterior_9,create_exterior_wall_curtain_window,70.32,3.25+3.2+6.5+3.2+7.29
create_level8_4zones_b,zone1,south,surface_exterior_1,create_exterior_wall_curtain_window,80.976,7.29+3.2+3.2+3.18
