building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
create_level8_1zone,zone1,create_level8_open_plan_office,4.8,754.0,754
create_level8_2zones,zone1,create_level8_open_plan_office,4.8,367.0,367
create_level8_2zones,zone2,create_level8_open_plan_office,4.8,373.0,373
create_level8_3zones,zone1,create_level8_open_plan_office,4.8,303.0,303
create_level8_3zones,zone2,create_level8_open_plan_office,4.8,373.0,373
create_level8_3zones,zone3,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_4zones_a,zone1,create_level8_open_plan_office,4.8,295.0,295
create_level8_4zones_a,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_4zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_4zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_4zones_b,zone1,create_level8_open_plan_office,4.8,250.0,250
create_level8_4zones_b,zone2,create_level8_open_plan_office,4.8,358.0,358
create_level8_4zones_b,zone3,create_level8_open_plan_office,4.8,80.0,80
create_level8_4zones_b,zone4,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_5zones,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_5zones,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_5zones,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_5zones,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_5zones,zone5,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_6zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_6zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_6zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_6zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_6zones_a,zone5,create_level8_open_plan_office,4.8,80.0,80
create_level8_6zones_a,zone6,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_6zones_b,zone1,create_level8_open_plan_office,4.8,295.0,295
create_level8_6zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_6zones_b,zone3,create_level8_group_office,3.0,41.7502,3.98*(7.29+3.2)
create_level8_6zones_b,zone4,create_level8_group_office,3.0,25.3924,3.98*(3.2+3.18)
create_level8_6zones_b,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
create_level8_6zones_b,zone6,create_level8_group_office,3.0,41.96,4*(3.2+7.29)
create_level8_7zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_7zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_7zones_a,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_7zones_a,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_7zones_a,zone5,create_level8_open_plan_office,4.8,52.0,52
create_level8_7zones_a,zone6,create_level8_open_plan_office,4.8,28.0,28
create_level8_7zones_a,zone7,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_7zones_b,zone1,create_level8_open_plan_office,4.8,235.0,235
create_level8_7zones_b,zone2,create_level8_open_plan_office,4.8,282.0,282
create_level8_7zones_b,zone3,create_level8_group_office,3.0,41.7502,3.98*(7.29+3.2)
create_level8_7zones_b,zone4,create_level8_group_office,3.0,25.3924,3.98*(3.2+3.18)
create_level8_7zones_b,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
create_level8_7zones_b,zone6,create_level8_group_office,3.0,41.96,4*(3.2+7.29)
create_level8_7zones_b,zone7,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_8zones,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_8zones,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_8zones,zone3,create_level8_group_office,3.0,68.2968,3.98*17.16
create_level8_8zones,zone4,create_level8_group_office,3.0,95.36,4*23.84
create_level8_8zones,zone5,create_level8_group_office,3.0,51.8,4*(3.25+3.2+6.5)
